TransactionID,Amount,Date,Account,Department
41364762-fc85-489c-bc21-decc12120467,446968.57,2024-10-14,GB23NGTW63006654926199,Finance
2e14bc60-dfed-4956-a9d6-c6308e06117f,110774.71,2022-08-13,GB78DQPO72744080786764,Medical
319eda14-b189-4f6d-a136-aea97540457e,400129.76,2017-10-12,GB26YHUS92643752292235,Research
d0a8f63a-432b-4775-aea2-253e52d95b63,276923.17,2022-11-04,GB04VIPE02865572158952,Research
47fc8f4c-850f-4f6f-8b55-306d4083eb3a,55690.84,2015-01-08,GB59CMZT89061702547885,Research
7c7a1b97-dbe3-4032-b6ed-fe3ecc89f978,150830.21,2016-05-21,GB20FUCF97946252156288,Research
89810f6e-e2d7-4bf0-a8e2-7f5e72ffaec6,-91823.39,2021-04-18,GB85EPWZ69915826370861,Logistics
f99bc18a-a4ca-4623-bf8d-9d1c0b404e78,449592.98,2026-07-01,GB90XFNV00063499587570,Research
89020be5-aaef-4269-9b64-9893f52bee10,361082.82,2020-12-17,GB24LJAX73118221768213,Finance
7a9d0e23-502f-4789-8f70-bfc71293e4a1,491062.26,2020-02-26,GB35IAYX80300977962630,Legal
607282a6-06cb-486e-ac88-751ffe13c792,291562.36,2014-10-30,GB69HAAE08900041650630,Medical
6b62acbd-433c-4446-9016-01fa4d947be4,-57723.78,2026-04-04,GB78SZID07006770949148,Medical
82a31e34-66a4-419f-bbc1-54d9cba295c4,9714.12,2018-01-24,GB32LIVF91594855366754,Logistics
41f64f65-9a34-405f-8041-9ac975590ac6,318337.23,2015-03-25,GB81ALYU19387571035115,Legal
27b5c6bd-3a29-47b0-bbed-ad120cd32f7b,92638.16,2016-01-01,GB90TILB06471675987731,Legal
e7bdb67d-32ac-48d5-8a71-070c8950f74c,197989.11,2020-05-12,GB13ZIZH36048058945739,Logistics
efe7590e-62ec-4036-80a6-362eceaea22a,-6876.67,2020-08-09,GB76ZDGN43034578242035,Finance
8f79a2b2-9c57-4e90-9fa6-620781c83150,263681.9,2017-04-09,GB18WSOD50731378660625,Research
bc77f023-eaf3-40e9-8c51-bd9fb67cb495,365801.46,2015-08-29,GB65PHFO40954512146726,Logistics
9651cce5-27f0-48f3-a45e-7aa46d821aa1,-24446.33,2024-07-06,GB22YIUL47917601096667,Logistics
df52b125-9d50-4a40-b171-ac879d335905,447340.63,2024-11-21,GB64EBLN51734651315257,Medical
78e9dc07-6ad9-4ae8-9696-5d6fdfc9bbbc,42324.87,2020-08-29,GB48JKHS37085944728372,Logistics
7e8b895a-7d28-41dc-80e5-d74b7bf4708a,125666.81,2023-02-07,GB67PKOA45695178877422,Medical
2823b6b8-48ee-4b26-913e-faa3dbb53976,97358.47,2013-10-14,GB32YSAU49777061655696,Finance
7f96732f-2acc-43b0-b682-f5b60c2e84fd,225578.41,2014-04-23,GB34ZCKS42726858496800,Legal
57b9bf1c-1f79-43c7-aec2-2a825290f58c,472853.1,2015-12-01,GB08OKSR40852785809759,Legal
