TransactionID,Amount,Date,Account,Department
2f742015-fa63-47f8-ba84-e36da0bd1b73,499055.25,2012-06-17,GB54RZMZ68818916522147,Logistics
19a34979-25be-4fe4-8085-b1a135aeb903,179694.57,2022-01-08,GB83SCFV94303066881274,Legal
b5d2733f-f534-4114-9595-2e8307ef5e86,61509.46,2022-06-10,GB62XTXU67079318139308,Logistics
356ff7cd-7cef-4667-85be-b5d50cd295b0,277652.1,2024-04-21,GB37ZSVR84817914664818,Research
ccba3fe1-281c-475f-8459-bd9119dc1a03,215173.58,2014-10-24,GB50YUTI25353562926304,Medical
000f59a9-37a1-448b-bb21-8cff514341a7,253604.14,2021-11-29,GB38JDIP82200446764979,Logistics
a63cf9b1-b399-42ad-bec2-0204ff594530,483972.55,2025-10-12,GB73BPCK70247677673168,Legal
a14da83d-99c3-4a8b-bca7-a5a074762431,94505.69,2023-05-15,GB43KERX95850092457710,Legal
92780699-a6f5-4948-acf8-ab81eff86367,448304.59,2018-02-06,GB03GECH41294359301653,Medical
965f3cb9-350d-4b7e-8978-e935cc64b738,312952.71,2014-10-20,GB70RJXI06542712459238,Medical
b735e175-68eb-4715-b144-eb0b8c2cb0d3,374049.32,2011-11-20,GB08ECSR05196145449597,Finance
4b117eac-ca70-45a8-b8b8-e22bcf69628c,153391.92,2016-03-30,GB38OZZH05641014099551,Medical
57102b4b-e5f2-41c4-9205-ed59a837e887,479414.9,2020-08-15,GB28OMYM57418700857713,Finance
8be5ea20-e904-4211-a9a5-456a8befe162,121006.51,2024-03-24,GB51PQEM03333612405423,Finance
e435946e-f0ad-4cd7-9449-3446bdbedaa9,-66092.49,2025-09-29,GB06XQKD26058594195705,Logistics
bd5b3372-5c9d-4354-bfb8-fba840ac03ca,99018.49,2023-11-26,GB86MXTU95345440667675,Finance
5be8aee0-7474-4ed8-98e1-2e8a6b4cd211,322239.89,2019-05-30,GB34AAGF24455946974145,Medical
ab64ede0-ff98-4eee-89b7-5d47919f7286,-45464.55,2025-12-05,GB63FADK23859905630024,Medical
19423c43-b6a5-4ea0-86e0-92db970be07a,471560.17,2022-02-09,GB42IBQF06219747449722,Research
4320910e-3d67-46f7-80e8-ca9f2beb49a3,231629.73,2020-07-13,GB51LWTZ86433429174070,Finance
e8f6ffd8-0d2e-4e2f-bdac-a0b6d1ca7a87,346174.35,2016-01-06,GB67STXV30631521305602,Legal
ce994793-21c0-40f9-9f05-3cacb191c562,98069.32,2016-09-24,GB02HBHI83001502407256,Finance
b14e2bf3-99c4-4e47-901c-a1e42332b0dd,191068.86,2013-12-22,GB81AOAM08222254931366,Legal
d2adc664-6170-4910-849f-cc4ce3b1dc63,-8163.7,2012-03-27,GB31LQAJ62023991867693,Research
077d8937-ac8b-4bda-8164-682761bec948,371696.36,2019-10-25,GB61JYPS63591533250576,Medical
48901e6e-8c43-4c3f-91dc-81a315e3b8b2,230992.88,2012-03-17,GB84LYMF45506231578861,Medical
5469f5be-79ac-4437-bb05-aff7e19f4a26,-74610.39,2022-07-13,GB33VLXS20132430565603,Research
3a98ad02-3983-4e63-a032-7c3a5578c37b,155766.49,2017-05-28,GB59LCAC15742637572058,Medical
26aa1f11-3e80-4c58-938c-406e9710aedc,74854.52,2025-12-03,GB48NTAZ70970033148384,Logistics
1b33261f-b8a2-4ef7-bedb-3e25e34c3694,-53817.89,2020-06-04,GB73JVFJ62852936247248,Research
1c79eac4-8305-4fa4-b5ee-60801bb01f62,319380.3,2022-11-11,GB56UDEC46691130379351,Medical
b7c1e54b-205e-41c4-923c-54533f3cdcbc,-30068.33,2026-01-02,GB88SXYC79191982196169,Research
0badf7db-6b78-4cdc-9fe6-25ce98666a1a,64257.9,2012-10-27,GB53ZKCE78213411477650,Legal
45ebaa8b-5618-4f34-92ce-39b33d950460,35942.85,2022-05-27,GB93ZNSM23398803170123,Legal
227adc0f-be88-4d86-9fad-a650d92d6adb,10812.12,2019-01-04,GB28MYHO08271181036658,Finance
a523e161-991f-4047-91de-b66c4f10bf76,94626.46,2013-08-13,GB79DNXI35754475283271,Logistics
73103c1a-1c26-4bc2-ae23-8aa0db96f0c0,350667.33,2012-09-09,GB24CLCL61567798502667,Medical
d369b1f3-9526-43fb-ab04-bb9609631b98,-1925.9,2021-11-03,GB90ULRM75163105076193,Legal
fc1faa39-245b-4ea5-a7fa-10128c88ff82,218081.8,2024-05-29,GB95GTNG57491716938653,Research
5a01f3f8-e86b-4c49-ae74-34325474edc6,228349.6,2024-07-15,GB54LZRD62880176729308,Finance
bc662281-a06d-4df4-90d3-c384e1e2d43c,191390.61,2018-05-23,GB13ELKV34339303762683,Research
c0b35b3d-0a0a-458f-9331-a51b8ebb9e4f,18535.74,2011-12-26,GB86VPQK65900807005914,Logistics
26fbebf6-a7cf-4197-a5b2-a54748f4e177,371913.8,2012-07-09,GB61OCKM04034436461604,Research
c28e6518-c462-4f7b-976e-cbd56d741fbc,9760.96,2014-09-21,GB83TINA82981181151992,Medical
8daf7add-ae0a-4ffe-8514-88ab38ae3dcb,457344.56,2014-06-20,GB60IQUS74095199512984,Logistics
59ee168e-e91b-4282-97c0-ed8b9832d68a,31352.44,2016-07-20,GB18UENH70225667823140,Legal
c6b57f7d-46a4-4ce5-9f7c-9934cbebc7fa,480814.19,2023-10-15,GB62BHWO32819634529557,Legal
9ce70d89-9222-447a-be3c-f2676057cf94,-2996.72,2016-05-24,GB67EHUX08539036821250,Logistics
b3dd449d-586b-456a-8b19-22af9cd76d52,144335.51,2015-09-09,GB85IXFC66114974841912,Logistics
9d51c3c3-5846-45b3-aaa2-34c9a72be8a9,418316.75,2025-01-26,GB02OLYA04424398091954,Legal
33cd1043-0314-456b-bc49-9af617fde979,96741.41,2020-03-17,GB41KKZK42430755390086,Logistics
82c10bd4-3db1-4717-b562-4315484c6218,456262.42,2020-11-20,GB46ZOCT04423496668576,Medical
b0fddda4-fdde-4c73-8b8e-c166aa984e44,479381.45,2015-10-31,GB29IKTQ15756988730467,Finance
a2ad004e-306b-4057-8df6-8ddfbf3d5c67,-88083.54,2016-09-12,GB89DQGO17006526860542,Medical
0a054906-6a3e-481d-ac76-fcdb8aa3205b,252876.76,2015-01-02,GB89GMGG58204289964935,Medical
ed830713-221b-4950-b1ed-52d792553bcd,320310.69,2013-12-31,GB23LLQS55833462643513,Legal
8a9e3a95-1b0c-4a11-86b0-e4b0672e2782,-77015.41,2017-04-25,GB26LMJH39862658377009,Legal
94821db9-d079-4ba2-a3ef-d00216636496,-66146.74,2019-05-30,GB38ZHZN24536749404362,Medical
4ffe2875-92d2-4d05-b0c0-9cd3f4c099b1,79703.39,2021-11-26,GB20CNAA26821171011336,Logistics
3067ccd0-17eb-4295-936a-5e0d95c2069f,-32892.56,2023-02-25,GB90ZZVJ26860374069068,Medical
770ca127-a6ba-4159-9048-e65d6e836f20,251663.0,2015-07-01,GB87BYAJ75579905729870,Medical
fd74b847-7608-42a5-81c3-fba5d1c3bc9f,404386.6,2022-12-29,GB48NUEW47853768115350,Logistics
5cc782fc-88e3-48dc-8853-796578bc1ccc,-5002.31,2016-07-13,GB73YJHO32295912726728,Logistics
b1d733ee-a7b7-4097-9f56-082f048bc72c,311042.89,2023-03-07,GB06GNYW07686213570022,Legal
942e0841-96be-4336-a443-2626a8475c56,215820.9,2017-05-15,GB55WBNQ35195443109450,Logistics
541ff6e4-1feb-4ca7-9752-248de28a548f,253456.22,2012-07-02,GB12YWTO32161878503449,Finance
a9adb50b-0caf-4b31-9112-f1caac913bfe,374841.85,2014-01-26,GB15VUAR50525508571171,Logistics
ada29b08-dd8b-4cd6-854a-74f77ca0a2d4,307894.5,2013-11-29,GB70PHEX46652801118704,Logistics
d4f3c497-d01b-4e15-b929-e7fff0a718b1,485168.6,2024-07-15,GB64SLON48704333372870,Research
48aca787-4648-4b6c-b18d-c9c5b91dea2d,496025.74,2025-10-20,GB07ZRLI47343773545242,Finance
28ac91ed-fd86-4080-a73a-e2654b4b13a2,460357.15,2015-10-02,GB87TWTI03269697207657,Research
56119848-2938-48f2-916f-ed89bf98b3ab,133858.92,2016-12-30,GB21CYFT54619591345172,Research
ad259ced-d929-42c8-8b02-2b023ed32eda,248965.2,2020-02-17,GB88JLOG59717229739905,Finance
f7bb3d97-cf8e-499d-a00e-aa46c9298a12,413569.99,2024-10-19,GB61SKGA73211704644697,Medical
5be510c5-7af0-4ff3-99e6-05a79bcdd837,-43066.51,2021-07-20,GB89PSVS20351454884494,Finance
c2af64f3-b4a2-48f4-94b2-c54a5f6fe015,170725.71,2015-09-16,GB15DAUM29714920261425,Logistics
99556603-d70c-4085-9122-0f9fb3efddb9,-81699.36,2026-06-01,GB98MFMB18100440707514,Finance
efbcfaed-8dd9-44d9-9de1-e0167e77db51,78601.89,2025-06-29,GB89OLEC67308397622642,Medical
